"location","label","value"
"SI 2.2","comparisons retained per draw (median)",469
"SI 2.2","s.d. across draws, joint",0.021
"SI 2.2","s.d. across draws, same-side",0.021
"SI 2.3","pooled slope of crowd error on GPT-4 error",0.46
"SI 2.3","slope CI lower (clustered by study)",0.3
"SI 2.3","slope CI upper (clustered by study)",0.62
"SI 2.3","slope CI lower (i.i.d.)",0.42
"SI 2.3","slope CI upper (i.i.d.)",0.5
"SI 2.3","percent of co-error variance between studies",33.7
"SI 2.3","studies with at least five comparisons",39
"SI 2.3","median per-study slope",0.58
"SI 2.3","per-study slope, 25th percentile",0.28
"SI 2.3","per-study slope, 75th percentile",0.97
"Main text, para 9 (C4)","P, same-side rate vs corrected null",1e-04
"Main text, para 9 (C4)","P, direction share vs corrected null",1e-04
"Main text, para 9 (C4)","P, joint rate vs corrected null",1e-04
"SI 1.5 (C4)","P, same-side rate vs study-specific null",5e-04
"SI 1.5 (C4)","P, direction share vs study-specific null",5e-04
"SI 1.5 (C4)","P, joint rate vs study-specific null",5e-04
"Main text, para 9 (C4)","bootstrap P, same-side rate",5e-04
"Main text, para 9 (C4)","bootstrap P, direction share",0
"Main text, para 8 (C17)","crowd-on-GPT-4 error slope",0.46
"Main text, para 8 (C17)","slope CI lower (clustered)",0.3
"Main text, para 8 (C17)","slope CI upper (clustered)",0.62
"Main text, para 12 (C17)","expert-on-GPT-4 error slope",0.89
"Main text, para 12 (C17)","expert slope CI lower (clustered)",0.85
"Main text, para 12 (C17)","expert slope CI upper (clustered)",0.93
"Main text, para 12 (C16)","experts also miss | GPT-4 miss",0.816
"Main text, para 12 (C16)","  Wilson CI lower",0.735
"Main text, para 12 (C16)","  Wilson CI upper",0.876
"Main text, para 12 (C16)","same side | both miss",0.989
"Main text, para 12 (C16)","  Wilson CI lower ",0.942
"Main text, para 12 (C16)","  Wilson CI upper ",0.998
"Main text, para 12 (C16)","null: same-direction share | GPT-4 miss",0.274
"Main text, para 12 (C16)","P (binomial) vs that null",0
"Fig. 2 / SI 2.5 (C16, C7, C8)","deepseek/deepseek-chat-v3-0324: repeats same direction | GPT-4 miss",0.78
"Fig. 2 / SI 2.5 (C16, C7, C8)","deepseek/deepseek-chat-v3-0324: corrected null",0.29
"Fig. 2 / SI 2.5 (C16, C7, C8)","openai/gpt-oss-120b: repeats same direction | GPT-4 miss",0.76
"Fig. 2 / SI 2.5 (C16, C7, C8)","openai/gpt-oss-120b: corrected null",0.3
"Fig. 2 / SI 2.5 (C16, C7, C8)","gpt-3.5-turbo: repeats same direction | GPT-4 miss",0.67
"Fig. 2 / SI 2.5 (C16, C7, C8)","gpt-3.5-turbo: corrected null",0.3
"Fig. 2 / SI 2.5 (C16, C7, C8)","google/gemma-3-27b-it: repeats same direction | GPT-4 miss",0.64
"Fig. 2 / SI 2.5 (C16, C7, C8)","google/gemma-3-27b-it: corrected null",0.29
"Fig. 2 / SI 2.5 (C16, C7, C8)","babbage-002: repeats same direction | GPT-4 miss",0.62
"Fig. 2 / SI 2.5 (C16, C7, C8)","babbage-002: corrected null",0.29
"Fig. 2 / SI 2.5 (C16, C7, C8)","davinci-002: repeats same direction | GPT-4 miss",0.6
"Fig. 2 / SI 2.5 (C16, C7, C8)","davinci-002: corrected null",0.31
"Fig. 2 / SI 2.5 (C16, C7, C8)","human: repeats same direction | GPT-4 miss",0.51
"Fig. 2 / SI 2.5 (C16, C7, C8)","human: corrected null",0.28
"Fig. 2 / SI 2.5 (C16, C7, C8)","domain experts: repeats same direction | GPT-4 miss",0.81
"Fig. 2 / SI 2.5 (C16, C7, C8)","domain experts: corrected null",0.27
"Main text, para 14 (C28 larger vs smaller effects)","rate inside",0.279
"Main text, para 14 (C28 larger vs smaller effects)","  CI lower",0.248
"Main text, para 14 (C28 larger vs smaller effects)","  CI upper",0.312
"Main text, para 14 (C28 larger vs smaller effects)","rate outside",0.103
"Main text, para 14 (C28 larger vs smaller effects)","  CI lower ",0.085
"Main text, para 14 (C28 larger vs smaller effects)","  CI upper ",0.124
"Main text, para 14 (C28 larger vs smaller effects)","two-proportion P",0
"Main text, para 14 (C28 screening cell vs remainder)","rate inside",0.56
"Main text, para 14 (C28 screening cell vs remainder)","  CI lower",0.447
"Main text, para 14 (C28 screening cell vs remainder)","  CI upper",0.667
"Main text, para 14 (C28 screening cell vs remainder)","rate outside",0.164
"Main text, para 14 (C28 screening cell vs remainder)","  CI lower ",0.147
"Main text, para 14 (C28 screening cell vs remainder)","  CI upper ",0.183
"Main text, para 14 (C28 screening cell vs remainder)","two-proportion P",0
"SI 2.7","corrected null, larger effects",0.15
"SI 2.7","corrected null, smaller effects",0.066
"SI 2.7","corrected null, screening cell",0.222
"SI 2.8","threshold 1.96: same-side joint-miss rate",0.182
"SI 2.8","threshold 1.96: calibration cap",0.05
"SI 2.8","threshold 1.96: observed / cap",3.6
"SI 2.8","threshold 1.96: floor share, expectation",0.725
"SI 2.8","threshold 1.96: floor share, binomial 97.5% cap",0.666
"SI 2.8","threshold 1.96: floor share, tenfold miscalibration",0
"SI 2.8","threshold 3.29: same-side joint-miss rate",0.066
"SI 2.8","threshold 3.29: calibration cap",0.001
"SI 2.8","threshold 3.29: observed / cap",65.4
"SI 2.8","threshold 3.29: floor share, expectation",0.985
"SI 2.8","threshold 3.29: floor share, binomial 97.5% cap",0.955
"SI 2.8","threshold 3.29: floor share, tenfold miscalibration",0.847
